,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1043,64,62.0,2014-03-16,29-076,MIA,,HOU,W (+9),1,42:52,8,17,.471,1,3,.333,7,8,.875,0,5,5,6,2,0,5,3,24,16.4,+11
1044,65,63.0,2014-03-18,29-078,MIA,@,CLE,W (+4),1,41:40,14,19,.737,6,8,.750,9,13,.692,0,6,6,4,2,3,0,1,43,42.0,+11
1045,67,64.0,2014-03-21,29-081,MIA,,MEM,W (+5),1,38:01,7,14,.500,0,2,.000,1,2,.500,1,5,6,7,2,1,3,0,15,14.4,+4
1046,68,65.0,2014-03-22,29-082,MIA,@,NOP,L (-10),1,41:59,10,18,.556,2,4,.500,3,3,1.000,1,7,8,9,0,1,3,1,25,22.8,-6
1047,69,66.0,2014-03-24,29-084,MIA,,POR,W (+2),1,38:22,13,23,.565,0,1,.000,6,9,.667,4,2,6,5,4,0,5,2,32,25.0,+4
1048,70,67.0,2014-03-26,29-086,MIA,@,IND,L (-1),1,43:24,11,19,.579,2,6,.333,14,15,.933,0,8,8,5,0,0,6,3,38,27.4,+2
1049,71,68.0,2014-03-28,29-088,MIA,@,DET,W (+32),1,29:46,7,13,.538,1,3,.333,2,2,1.000,2,8,10,12,1,0,1,0,17,22.9,+32
1050,72,69.0,2014-03-29,29-089,MIA,@,MIL,W (+21),1,30:03,5,10,.500,1,3,.333,2,4,.500,2,5,7,2,0,0,4,1,13,7.1,+19
1051,73,70.0,2014-03-31,29-091,MIA,,TOR,W (+10),1,38:53,11,20,.550,1,6,.167,9,11,.818,0,7,7,8,1,0,6,2,32,23.5,+22
1052,74,71.0,2014-04-02,29-093,MIA,,MIL,W (+19),1,29:21,7,12,.583,1,3,.333,2,5,.400,0,4,4,8,1,1,2,0,17,16.7,+18
1053,75,72.0,2014-04-04,29-095,MIA,,MIN,L (-1),1,47:57,12,24,.500,2,4,.500,8,10,.800,2,6,8,5,4,1,4,5,34,26.6,+7
1054,76,73.0,2014-04-06,29-097,MIA,,NYK,W (+11),1,42:47,13,22,.591,3,7,.429,9,12,.750,0,5,5,6,1,0,5,0,38,28.3,+2
1055,77,74.0,2014-04-08,29-099,MIA,,BRK,L (-1),1,37:08,9,16,.563,0,3,.000,11,14,.786,1,9,10,6,2,0,3,0,29,26.8,-2
1056,78,75.0,2014-04-09,29-100,MIA,@,MEM,L (-5),1,41:22,14,23,.609,3,5,.600,6,7,.857,1,5,6,5,2,0,5,1,37,28.4,-8
1057,79,76.0,2014-04-11,29-102,MIA,,IND,W (+12),1,34:52,11,20,.550,2,4,.500,12,13,.923,1,5,6,1,1,1,2,1,36,28.2,+13
1058,80,77.0,2014-04-12,29-103,MIA,@,ATL,L (-13),1,37:21,10,22,.455,3,7,.429,4,8,.500,3,5,8,5,0,1,3,2,27,18.0,-13
1059,1,1.0,2014-04-20,29-111,MIA,,CHA,W (+11),1,38:32,8,16,0.5,4,8,0.5,7,10,0.7,0,9,9,1,0,0,3,1,27,17.8,0
1060,2,2.0,2014-04-23,29-114,MIA,,CHA,W (+4),1,39:50,11,17,0.647,1,5,0.2,9,12,0.75,0,6,6,8,4,0,4,2,32,29.9,6
1061,3,3.0,2014-04-26,29-117,MIA,@,CHA,W (+13),1,35:59,10,18,0.556,1,2,0.5,9,10,0.9,0,10,10,6,2,0,2,1,30,27.8,20
1062,4,4.0,2014-04-28,29-119,MIA,@,CHA,W (+11),1,42:54,10,19,0.526,1,5,0.2,10,12,0.833,0,7,7,9,3,1,2,3,31,29.8,12
1063,5,5.0,2014-05-06,29-127,MIA,,BRK,W (+21),1,36:21,10,15,0.667,0,0,,2,2,1.0,1,4,5,3,0,0,1,2,22,17.7,10
1064,6,6.0,2014-05-08,29-129,MIA,,BRK,W (+12),1,39:07,9,18,0.5,0,3,0.0,4,6,0.667,0,4,4,3,2,1,2,2,22,15.4,6
1065,7,7.0,2014-05-10,29-131,MIA,@,BRK,L (-14),1,39:39,8,15,0.5329999999999999,3,7,0.429,9,10,0.9,0,8,8,5,1,1,2,2,28,25.1,-14
1066,8,8.0,2014-05-12,29-133,MIA,@,BRK,W (+6),1,43:28,16,24,0.667,3,6,0.5,14,19,0.737,0,6,6,2,3,0,1,5,49,39.8,13
1067,9,9.0,2014-05-14,29-135,MIA,,BRK,W (+2),1,43:36,6,14,0.429,2,5,0.4,15,17,0.882,2,7,9,5,0,1,5,1,29,23.1,4
1068,10,10.0,2014-05-18,29-139,MIA,@,IND,L (-11),1,40:50,11,18,0.611,1,5,0.2,2,2,1.0,1,9,10,5,3,0,4,3,25,21.5,-13
1069,11,11.0,2014-05-20,29-141,MIA,@,IND,W (+4),1,42:21,9,18,0.5,1,5,0.2,3,6,0.5,0,7,7,6,2,3,3,3,22,18.0,4
1070,12,12.0,2014-05-24,29-145,MIA,,IND,W (+12),1,39:46,9,14,0.643,1,2,0.5,7,9,0.778,1,4,5,7,3,0,6,2,26,22.0,21
1071,13,13.0,2014-05-26,29-147,MIA,,IND,W (+12),1,35:48,13,21,0.619,2,3,0.667,4,4,1.0,0,10,10,5,2,0,2,3,32,27.8,10
1072,14,14.0,2014-05-28,29-149,MIA,@,IND,L (-3),1,24:21,2,10,0.2,1,3,0.33299999999999996,2,3,0.667,1,1,2,4,0,1,3,5,7,-0.1,1
1073,15,15.0,2014-05-30,29-151,MIA,,IND,W (+25),1,31:39,8,12,0.667,0,0,,9,9,1.0,1,3,4,6,1,1,2,1,25,24.9,27
1074,16,16.0,2014-06-05,29-157,MIA,@,SAS,L (-15),1,32:53,9,17,0.529,2,3,0.667,5,6,0.833,3,3,6,3,3,0,4,1,25,20.0,0
1075,17,17.0,2014-06-08,29-160,MIA,@,SAS,W (+2),1,37:36,14,22,0.636,3,3,1.0,4,5,0.8,2,8,10,3,2,0,4,3,35,27.5,11
1076,18,18.0,2014-06-10,29-162,MIA,,SAS,L (-19),1,39:49,9,14,0.643,2,4,0.5,2,3,0.667,1,4,5,7,5,0,7,5,22,18.2,-21
